SALARY,HOURLY RATE,TITLE,DEPARTMENT
"$33,490.51 ",,HOUSING INSPECTOR (I),INSPECTIONS
"$36,705.24 ",,SENIOR ACCOUNTS RECEIVABLE SPECIALI,FINANCE
"$65,920.38 ",,FIRE CAPTAIN,FIRE
"$42,429.86 ",,CD PLANNER I,COMMUNITY DEVELOPMENT
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$10.71 ,UTILITY BILLING FIELD TECHNICIAN,FINANCE
"$25,967.76 ",,INVENTORY ASSISTANT,PUBLIC WORKS
"$35,428.54 ",,POLICE RECORDS SPECIALIST,POLICE
"$51,267.87 ",,MASTER POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$42,705.28 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$37,807.65 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$25,050.68 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
"$38,759.67 ",,FIRST CLASS POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$67,879.81 ",,POLICE SERGEANT,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$61,074.99 ",,FIRE CAPTAIN,FIRE
,$10.25 ,PROGRAM SPECIALIST VI-G (T),PARK AND RECREATION
"$34,761.20 ",,POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$53,388.84 ",,TRANSPORTATION INSPECTOR,PUBLIC WORKS
"$46,069.51 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$20.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$96,097.77 ",,PUBLIC AFFAIRS DIRECTOR,PUBLIC AFFAIRS
"$66,468.00 ",,PROJECT ENGINEER I,PUBLIC WORKS
"$47,015.19 ",,SUPPORT SERVICES SUPERVISOR,PUBLIC WORKS
"$32,381.23 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$42,404.51 ",,SENIOR FIREFIGHTER,FIRE
"$47,299.25 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$48,488.12 ",,SENIOR FIREFIGHTER,FIRE
"$75,032.96 ",,PARKS & REC FISCAL ADMINISTRATOR,PARK AND RECREATION
"$22,667.84 ",,EQUIPMENT OPERATOR I,PUBLIC UTILITIES
"$34,928.93 ",,POLICE OFFICER,POLICE
,$26.25 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$69,917.05 ",,POLICE SERGEANT,POLICE
,$30.00 ,OFFICIALS,PARK AND RECREATION
"$37,047.92 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$45,426.97 ",,ADMINISTRATIVE ASSISTANT,FINANCE
"$36,124.65 ",,FIRST CLASS FIREFIGHTER,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$41,628.08 ",,LEAD SERVICE WORKER,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$26,303.26 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$61,839.52 ",,SENIOR POLICE OFFICER,POLICE
,$10.99 ,LABORATORY ANALYST,PUBLIC UTILITIES
"$27,747.82 ",,MAINTENANCE WORKER I,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$50,137.43 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$25,050.68 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
,$40.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$14.00 ,PROJECT ANALYST(T),PARK AND RECREATION
"$67,342.11 ",,POLICE SERGEANT,POLICE
"$47,080.49 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$38,188.99 ",,FIRST CLASS POLICE OFFICER,POLICE
,$15.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$33,855.28 ",,POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,976.56 ",,COMMUNICATIONS TECHNICIAN,PUBLIC WORKS
"$42,806.62 ",,FIRST CLASS POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$50,124.33 ",,MASTER POLICE OFFICER,POLICE
"$127,862.23 ",,RCCC DIRECTOR,CONVENTION CENTER
"$33,855.28 ",,POLICE OFFICER,POLICE
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$46,999.88 ",,FORENSIC COMPUTER ANALYST,POLICE
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$20,560.38 ",,LEAD CUSTODIAL WORKER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$41,013.02 ",,SENIOR METER READER,PUBLIC UTILITIES
"$37,011.32 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$34,254.29 ",,POLICE OFFICER,POLICE
"$30,377.15 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$52,216.91 ",,PRINT SERVICES COORDINATOR,PUBLIC AFFAIRS
"$47,921.74 ",,MAINTENANCE MECHANIC I,PUBLIC WORKS
,$9.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$75,236.47 ",,TRANSPORTATION ENGINEER MANAGER,PUBLIC WORKS
"$60,817.19 ",,SENIOR POLICE OFFICER,POLICE
"$33,743.79 ",,SENIOR STAFF SUPPORT SPECIALIST,FINANCE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$12.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$26,615.68 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$49,851.57 ",,TRAFFIC SIGNAL TECHNICIAN,PUBLIC WORKS
"$55,630.32 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$49,547.10 ",,MASTER POLICE OFFICER,POLICE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$47,128.84 ",,CD PROGRAM SPECIALIST,COMMUNITY DEVELOPMENT
"$43,296.86 ",,POLICE EVIDENCE SUPERVISOR,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$34,999.95 ",,POLICE EVIDENCE SPECIALIST,POLICE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$66,352.01 ",,FIRE CAPTAIN,FIRE
"$56,743.44 ",,INSTRUMENT TECHNICIAN,PUBLIC UTILITIES
"$62,709.82 ",,CODE ENFRCMNT INSPECTOR SUPV (III),INSPECTIONS
"$50,395.67 ",,FIRE LIEUTENANT,FIRE
"$40,893.53 ",,FIRST CLASS FIREFIGHTER,FIRE
"$36,959.18 ",,FIRST CLASS POLICE OFFICER,POLICE
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
"$41,837.74 ",,EQUIPMENT OPERATOR III,PUBLIC WORKS
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$43,297.28 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$39,910.83 ",,MAINTENANCE MECHANIC I,CONVENTION CENTER
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$58,211.71 ",,PLANT MAINTENANCE SUPERVISOR,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$86,913.84 ",,METER SUPERINTENDENT,PUBLIC UTILITIES
"$35,846.72 ",,WATER & SEWER SUPERVISOR III,PUBLIC UTILITIES
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$40,787.55 ",,CONCRETE MASON,PUBLIC WORKS
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.75 ,ACTIVITY SPECIALIST IV (T),PARK AND RECREATION
"$25,560.07 ",,SENIOR ACCOUNTING ASSISTANT,FINANCE
"$47,874.37 ",,FIRST CLASS POLICE OFFICER,POLICE
"$41,795.43 ",,FIRST CLASS POLICE OFFICER,POLICE
"$60,399.02 ",,SR. BUDGET ANALYST,ADMINISTRATIVE SERVICES
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
"$26,303.26 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$24,753.25 ",,PAINT TRUCK OPERATOR,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$74,599.93 ",,PROJECT ENGINEER II,PUBLIC UTILITIES
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,EVENT SECURITY OFFICER II (T),CONVENTION CENTER
"$52,725.09 ",,SURVEY TECHNICIAN CREW CHIEF,PUBLIC WORKS
"$33,425.18 ",,MAINTENANCE WORKER I,CONVENTION CENTER
"$51,312.21 ",,POLICE DETECTIVE I,POLICE
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$41,738.11 ",,PARALEGAL,ADMINISTRATIVE SERVICES
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$96,138.07 ",,RCCC GENERAL MANAGER,CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$51,255.86 ",,MASTER POLICE OFFICER,POLICE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$69,294.44 ",,PROJECT ENGINEER II,PUBLIC WORKS
"$33,349.47 ",,FIREFIGHTER,FIRE
"$30,377.15 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$41,628.09 ",,CUSTOMER SERVICE REPRESENTATIVE,PUBLIC UTILITIES
"$47,843.15 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$47,855.18 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$26,618.80 ",,EQUIPMENT OPERATOR II,PARK AND RECREATION
"$21,383.02 ",,SERVICE WORKER,PARK AND RECREATION
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$43,875.47 ",,SENIOR FIREFIGHTER,FIRE
"$49,553.65 ",,MASTER POLICE OFFICER,POLICE
"$63,624.70 ",,HEAVY EQUIPMENT SUPERVISOR,PUBLIC WORKS
"$29,500.20 ",,SR. CUSTOMER SERVICES REP,FINANCE
,$25.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$29,066.54 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$39,527.05 ",,PAYROLL TECHNICIAN,FINANCE
"$22,667.84 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$43,709.74 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$63,752.79 ",,CD PROGRAM MANAGER,COMMUNITY DEVELOPMENT
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$39,064.00 ",,ECC TRAINING & COMPLIANCE COORD,EMERGENCY COMMUNICATION
"$117,021.13 ",,ATTORNEY,GENERAL GOVERNMENT
"$24,947.31 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$30,839.12 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$34,518.99 ",,POLICE OFFICER,POLICE
"$67,472.88 ",,PARKS PLANNER,PARK AND RECREATION
"$33,490.51 ",,HOUSING INSPECTOR (I),INSPECTIONS
"$53,992.41 ",,MASTER POLICE OFFICER,POLICE
"$26,461.34 ",,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$33,218.64 ",,SERVICE WORKER,PARK AND RECREATION
"$35,349.13 ",,POLICE OFFICER,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$33,790.22 ",,EQUIPMENT OPERATOR III,PARK AND RECREATION
"$68,220.14 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$85,506.44 ",,POLICE CAPTAIN,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,645.84 ",,SR. TRAFFIC SERVICES TECHNICIAN,PUBLIC WORKS
"$36,394.18 ",,FIRST CLASS POLICE OFFICER,POLICE
"$58,575.09 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$20.00 ,SR. INSPECTIONS SPECIALIST (T),INSPECTIONS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$31,399.26 ",,EQUIPMENT OPERATOR III,PUBLIC WORKS
"$56,210.13 ",,PARK OPERATIONS MANAGER,PARK AND RECREATION
"$61,503.85 ",,RECYCLING PROGRAM COORDINATOR,SOLID WASTE SERVICES
"$41,512.83 ",,STORMWATER CONTROL INSPECTOR,PUBLIC WORKS
"$31,566.70 ",,TREE TRIMMER,PARK AND RECREATION
"$32,304.58 ",,FIREFIGHTER,FIRE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$48,434.38 ",,SENIOR FIREFIGHTER,FIRE
"$41,628.29 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$24,097.42 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$35,258.91 ",,WATER & SEWER SUPERVISOR I,PUBLIC UTILITIES
,$8.75 ,ACTIVITY SPECIALIST IV (T),PARK AND RECREATION
"$50,873.88 ",,MASTER POLICE OFFICER,POLICE
"$42,418.90 ",,CREW SUPERVISOR,PUBLIC WORKS
"$25,394.51 ",,CUSTODIAL WORKER,PARK AND RECREATION
"$35,598.78 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
"$81,277.24 ",,SENIOR PROJECT ENGINEER,PUBLIC WORKS
,$9.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$40.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$34,661.17 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$30,285.05 ",,FIREFIGHTER,FIRE
"$24,991.20 ",,SENIOR METER READER,PUBLIC UTILITIES
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$6.15 ,PROGRAM ASSISTANT III(T),PARK AND RECREATION
,$9.48 ,CL. ASSISTANT III (T),PUBLIC WORKS
"$65,920.38 ",,FIRE CAPTAIN,FIRE
,$12.00 ,OFFICIALS,PARK AND RECREATION
"$53,494.48 ",,SWS TRAINING SPECIALIST,SOLID WASTE SERVICES
"$33,567.08 ",,PERMIT SPECIALIST,INSPECTIONS
,$15.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$39,059.97 ",,SENIOR STAFF SUPPORT SPECIALIST,FINANCE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$58,575.24 ",,ZONING INSPECTOR,INSPECTIONS
"$37,609.17 ",,PERMIT SPECIALIST,INSPECTIONS
"$54,822.51 ",,RCCC HOUSE  MANAGER,CONVENTION CENTER
,$8.50 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$60,925.74 ",,SENIOR POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$27,320.78 ",,SR. POLICE RECORDS SPECIALIST,POLICE
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$37,930.58 ",,FIRST CLASS FF HAZMAT/TECH,FIRE
"$35,349.13 ",,POLICE OFFICER,POLICE
"$61,439.63 ",,POLICE SERGEANT,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,047.27 ",,HOUSING INSPECTOR (I),INSPECTIONS
"$71,273.53 ",,POLICE SERGEANT,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$9.75 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$57,846.08 ",,SENIOR POLICE OFFICER,POLICE
,$10.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$55,785.88 ",,ADMINISTRATIVE ASSISTANT,COMMUNITY SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$68,883.58 ",,POLICE SERGEANT,POLICE
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$34,160.88 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
"$61,335.89 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$32,212.54 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$63,142.28 ",,POLICE CORPORALS,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$26,198.43 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$42,651.71 ",,ZONING INSPECTOR,INSPECTIONS
,$15.00 ,STAGE TECHNICIAN IV (T),CONVENTION CENTER
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$39,422.06 ",,RTN PRODUCTION SPECIALIST,PUBLIC AFFAIRS
"$39,716.91 ",,FIRST CLASS POLICE OFFICER,POLICE
"$30,548.13 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$52,324.27 ",,WATER & SEWER SUPERVISOR III,PUBLIC UTILITIES
"$51,940.66 ",,SENIOR CONSERVATION ENGINEER,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$42,615.66 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$34.00 ,OFFICIALS,PARK AND RECREATION
"$52,494.78 ",,PLANNING TECHNICIAN,PLANNING
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$38,867.09 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
,$10.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$32,807.01 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$30.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$26,312.83 ",,AUTOMOTIVE SERVICES TECHNICIAN,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$41,100.80 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$40,640.54 ",,SENIOR BUILDING PLANS EXAMINER,FIRE
"$62,188.53 ",,POLICE CORPORALS,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$36,593.44 ",,CHEMIST,PUBLIC UTILITIES
"$57,615.17 ",,GARAGE SUPERVISOR,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$34,190.83 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$36,218.00 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$37,099.58 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$32,619.81 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$34,065.20 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$25.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$30,707.66 ",,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$36,263.55 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$38,760.10 ",,FIRST CLASS POLICE OFFICER,POLICE
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$75,772.35 ",,POLICE LIEUTENANT,POLICE
,$22.00 ,OFFICIALS,PARK AND RECREATION
"$40,671.32 ",,FIRST CLASS POLICE OFFICER,POLICE
"$52,815.15 ",,LAND MANAGEMENT SUPERVISOR,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$61,356.35 ",,SENIOR BUILDING PLANS EXAMINER,INSPECTIONS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.70 ,PLANNING GRAPHICS TECH(T),PLANNING
"$31,540.59 ",,ADMINISTRATIVE SUPPORT SPECIALIST,GENERAL GOVERNMENT
"$52,602.99 ",,STREETS SAFETY COORDINATOR,PUBLIC WORKS
"$35,074.60 ",,POLICE OFFICER,POLICE
"$69,963.35 ",,POLICE SERGEANT,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$36,923.46 ",,COMMUNITY SPECIALIST,COMMUNITY SERVICES
"$89,645.92 ",,WASTE WATER TREATMENT SUPERINTEND,PUBLIC UTILITIES
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$42,806.34 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$24,991.20 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$49,683.65 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$29,819.92 ",,GARDENER,PARK AND RECREATION
"$35,768.90 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,759.67 ",,FIRST CLASS POLICE OFFICER,POLICE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$31,416.67 ",,STAFF SUPPORT SPECIALIST,COMMUNITY DEVELOPMENT
"$45,905.28 ",,MASTER POLICE OFFICER,POLICE
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$11.00 ,MAPPING TECHNICIAN,PARK AND RECREATION
"$40,191.50 ",,FIRST CLASS POLICE OFFICER,POLICE
"$53,833.42 ",,MASTER POLICE OFFICER,POLICE
"$62,683.92 ",,ASSISTANT WATER & SEWER SUPERINTEND,PUBLIC UTILITIES
"$47,236.84 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$54,491.71 ",,FIRE LIEUTENANT,FIRE
"$39,887.95 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$8.00 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
"$35,667.52 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$39,060.11 ",,METER READER,PUBLIC UTILITIES
"$30,509.65 ",,INVENTORY ASSISTANT,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
