SALARY,TITLE,DEPARTMENT
"$16,556.80 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$17,056.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$32,036.00 ",RECREATION SPECIALIST,PARKS & RECREATION
"$21,008.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$17,056.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$28,680.56 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$30,735.90 ",RECREATION SPECIALIST,PARKS & RECREATION
"$19,136.00 ",RECREATION SPECIALIST,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$35,274.06 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$37,559.32 ",RECREATION ASSISTANT SUPERVISO,CITY/COUNTY INSPECTIONS
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$33,227.55 ",RECREATION SPECIALIST,PARKS & RECREATION
"$15,308.80 ",ATTENDANT II,PARKS & RECREATION
"$28,118.18 ",RECREATION SPECIALIST,PARKS & RECREATION
"$28,355.42 ",STAFF ASSISTANT,PARKS & RECREATION
"$18,033.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$18,033.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$45,837.24 ",AQUATICS SUPERVISOR,PARKS & RECREATION
"$25,500.80 ",TEENAGE PROGRAM MPS,PARKS & RECREATION
"$16,556.80 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$14,726.40 ",ATTENDANT II,PARKS & RECREATION
"$17,284.80 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$28,118.16 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$16,556.80 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$25,500.80 ",CERAMIC INSTRUCTOR,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$17,056.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$13,852.80 ",ATTENDANT I,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$26,769.60 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$32,043.96 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$41,108.37 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$25,500.80 ",TEENAGE PROGRAM MPS,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$19,510.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$26,779.20 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,056.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$25,500.80 ",TEENAGE PROGRAM COORDINATOR,PARKS & RECREATION
"$18,033.60 ",PARTTIME TECHNICIANS,PARKS & RECREATION
"$17,513.60 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$14,726.40 ",ATTENDANT II,PARKS & RECREATION
"$15,308.80 ",ATTENDANT II,PARKS & RECREATION
"$43,619.49 ",RECREATION SUPERVISOR,PARKS & RECREATION
"$16,120.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$17,513.60 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$21,008.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$25,500.80 ",TEENAGE PROGRAM MPS,PARKS & RECREATION
"$14,726.40 ",ATTENDANT II,PARKS & RECREATION
"$25,500.80 ",SERVICE MAINTENANCE,PARKS & RECREATION
"$16,556.80 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$14,726.40 ",ATTENDANT II,PARKS & RECREATION
"$39,379.45 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$18,033.60 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$16,556.80 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$14,726.40 ",ATTENDANT II,PARKS & RECREATION
"$19,136.00 ",RECREATION SPECIALIST,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$15,766.40 ",ATTENDANT II,PARKS & RECREATION
"$52,695.00 ",AQUATICS SUPERVISOR,PARKS & RECREATION
"$30,115.45 ",RECREATION SPECIALIST,PARKS & RECREATION
"$15,308.80 ",ATTENDANT II,PARKS & RECREATION
"$36,351.36 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$16,328.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$15,766.40 ",ATTENDANT II,PARKS & RECREATION
"$25,500.80 ",POTTERY INSTRUCTOR,PARKS & RECREATION
"$31,216.96 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$16,328.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$60,293.29 ",RECREATION MANAGER,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$18,012.80 ",LIFEGUARD,PARKS & RECREATION
"$35,896.90 ",AQUATICS ASSISTANT SUPERVISOR,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$21,382.40 ",SENIOR LIFEGUARD,PARKS & RECREATION
"$20,758.40 ",SENIOR LIFEGUARD,PARKS & RECREATION
"$18,012.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$18,012.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$19,094.40 ",SENIOR LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$18,012.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$18,012.80 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$18,012.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$26,758.00 ",AQUATICS SPECIALIST,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$17,472.00 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$17,472.00 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$13,561.60 ",CASHIER,PARKS & RECREATION
"$13,561.60 ",CASHIER,PARKS & RECREATION
"$28,114.06 ",STAFF ASSISTANT,PARKS & RECREATION
"$17,513.60 ",AQUATIC FACILITY MANAGER (SEA),PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$13,561.60 ",CASHIER,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$20,155.20 ",AQUATIC FACILITY MANAGER (SEA),PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$27,920.88 ",STAFF ASSISTANT,PARKS & RECREATION
"$13,561.60 ",CASHIER,PARKS & RECREATION
"$13,561.60 ",CASHIER,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$37,336.03 ",AQUATICS ASSISTANT SUPERVISOR,PARKS & RECREATION
"$20,758.40 ",AQUATIC FACILITY MANAGER (SEA),PARKS & RECREATION
"$16,972.80 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$17,472.00 ",LIFEGUARD,PARKS & RECREATION
"$20,758.40 ",SENIOR LIFEGUARD,PARKS & RECREATION
"$21,382.40 ",SENIOR LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$25,500.80 ",PARA PROFESSIONAL,PARKS & RECREATION
"$16,972.80 ",ASSISTANT AQUATIC FACILITY MGR,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$13,561.60 ",CASHIER,PARKS & RECREATION
"$20,155.20 ",AQUATIC FACILITY MANAGER (SEA),PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$20,155.20 ",AQUATIC FACILITY MANAGER (SEA),PARKS & RECREATION
"$21,008.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$12,251.20 ",CASHIER,PARKS & RECREATION
"$15,995.20 ",LIFEGUARD,PARKS & RECREATION
"$56,649.88 ",SENIOR PLANNER,PARKS & RECREATION
"$50,189.36 ",SENIOR PLANNER,PARKS & RECREATION
"$73,180.89 ",DIRECTOR,PARKS & RECREATION
"$20,259.20 ",LAKE ATTENDANT,PARKS & RECREATION
"$20,259.20 ",LAKE ATTENDANT,PARKS & RECREATION
"$17,222.40 ",MILLER,PARKS & RECREATION
"$60,304.34 ",RECREATION MANAGER,PARKS & RECREATION
"$14,393.60 ",TOUR GUIDE,PARKS & RECREATION
"$17,222.40 ",SERVICE MAINTENANCE,PARKS & RECREATION
"$36,722.60 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$15,308.80 ",ATTENDANT II,PARKS & RECREATION
"$26,063.90 ",SENIOR LABORER,PARKS & RECREATION
"$23,940.02 ",SENIOR LABORER,PARKS & RECREATION
"$26,167.52 ",SENIOR LABORER,PARKS & RECREATION
"$21,715.20 ",SERVICE MAINTENANCE,PARKS & RECREATION
"$59,653.66 ",PARKS SUPERINTENDENT,PARKS & RECREATION
"$26,270.40 ",PARA PROFESSIONAL,PARKS & RECREATION
"$27,192.48 ",CUSTODIAN,PARKS & RECREATION
"$26,276.49 ",CUSTODIAN,PARKS & RECREATION
"$24,924.08 ",CUSTODIAN,PARKS & RECREATION
"$26,756.07 ",CUSTODIAN,PARKS & RECREATION
"$21,000.00 ",CUSTODIAN,PARKS & RECREATION
"$28,821.00 ",CUSTODIAN,PARKS & RECREATION
"$24,272.67 ",CUSTODIAN,PARKS & RECREATION
"$28,272.14 ",CUSTODIAN,PARKS & RECREATION
"$24,405.76 ",CUSTODIAN,PARKS & RECREATION
"$25,108.69 ",CUSTODIAN,PARKS & RECREATION
"$28,056.36 ",EQUIPMENT OPERATOR I,PARKS & RECREATION
"$26,845.61 ",PROPERTY CARE WORKER,PARKS & RECREATION
"$24,125.00 ",PROPERTY CARE WORKER,PARKS & RECREATION
"$24,180.00 ",EQUIPMENT OPERATOR I,PARKS & RECREATION
"$25,064.00 ",SENIOR LABORER,PARKS & RECREATION
"$70,165.56 ",PLANNING SUPERVISOR,CITY/COUNTY PLANNING
"$53,096.04 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$32,665.17 ",SECRETARY,CITY/COUNTY PLANNING
"$45,245.43 ",EXECUTIVE SECRETARY,CITY/COUNTY PLANNING
"$29,147.00 ",STAFF ASSISTANT,CITY/COUNTY PLANNING
"$115,785.20 ",DIRECTOR OF CITY/COUNTY PLANNI,CITY/COUNTY PLANNING
"$86,381.57 ",ASSISTANT CITY-COUNTY PLN DIRE,CITY/COUNTY PLANNING
"$27,034.16 ",SECRETARY,CITY/COUNTY PLANNING
"$46,757.00 ",ASSOCIATE PLANNER,CITY/COUNTY PLANNING
"$42,035.61 ",PLANNER,CITY/COUNTY PLANNING
"$32,352.60 ",EXECUTIVE SECRETARY,CITY/COUNTY PLANNING
"$66,328.70 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$44,037.57 ",PLANNER,CITY/COUNTY PLANNING
"$61,986.59 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$62,196.58 ",PLANNING SUPERVISOR,CITY/COUNTY PLANNING
"$67,076.40 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$56,109.00 ",PLANNER,CITY/COUNTY PLANNING
"$52,141.64 ",PLANNER,CITY/COUNTY PLANNING
"$40,239.11 ",MANAGEMENT ASSISTANT,CITY/COUNTY PLANNING
"$51,428.29 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$67,782.00 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$67,076.40 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$41,228.66 ",PLANNER,CITY/COUNTY PLANNING
"$65,675.34 ",PLANNING SUPERVISOR,CITY/COUNTY PLANNING
"$39,866.98 ",PLANNER,CITY/COUNTY PLANNING
"$53,601.72 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$50,521.52 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$74,504.04 ",PLANNING SUPERVISOR,CITY/COUNTY PLANNING
"$75,007.00 ",ASSISTANT CITY-COUNTY PLN DIRE,CITY/COUNTY PLANNING
"$62,562.63 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$37,224.00 ",PLANNER,CITY/COUNTY PLANNING
"$38,917.59 ",PLANNER,CITY/COUNTY PLANNING
"$53,146.15 ",PLANNER,CITY/COUNTY PLANNING
"$54,564.51 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$53,611.47 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$37,968.58 ",PLANNER,CITY/COUNTY PLANNING
"$41,755.08 ",PLANNER,CITY/COUNTY PLANNING
"$49,097.04 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$62,086.00 ",PLANNING SUPERVISOR,CITY/COUNTY PLANNING
"$40,641.08 ",PLANNER,CITY/COUNTY PLANNING
"$53,363.31 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$59,925.07 ",SENIOR PLANNER,CITY/COUNTY PLANNING
"$119,303.56 ",POLICE CHIEF,POLICE
"$85,987.24 ",SR POLICE ATTORNEY,POLICE
"$87,448.22 ",DEPUTY POLICE CHIEF,POLICE
"$37,810.68 ",PROGRAM ASSISTANT,POLICE
"$83,837.47 ",POLICE MAJOR,POLICE
"$79,368.41 ",POLICE ATTORNEY,POLICE
"$45,092.58 ",POLICE OFFICER,POLICE
"$58,224.66 ",POLICE SERGEANT,POLICE
"$57,038.54 ",MASTER OFFICER,POLICE
"$46,329.40 ",POLICE OFFICER,POLICE
"$51,851.80 ",MASTER OFFICER,POLICE
"$52,862.42 ",POLICE OFFICER,POLICE
"$44,517.98 ",POLICE OFFICER,POLICE
"$50,090.82 ",INVESTIGATOR,POLICE
"$51,890.02 ",MASTER OFFICER,POLICE
"$55,065.92 ",MASTER OFFICER,POLICE
"$47,000.81 ",CRIMINAL INFORMATION SPECIALIS,POLICE
"$46,757.00 ",CRIMINAL INFORMATION SPECIALIS,POLICE
"$52,730.54 ",CRIMINAL INFORMATION SPECIALIS,POLICE
"$47,840.26 ",CRIME ANALYSIS SUPERVISOR,POLICE
"$46,757.00 ",CRIMINAL INFORMATION SPECIALIS,POLICE
"$52,355.16 ",POLICE CORPORAL,POLICE
"$63,263.20 ",POLICE SERGEANT,POLICE
"$47,944.26 ",MASTER OFFICER,POLICE
"$57,038.54 ",MASTER OFFICER,POLICE
"$47,486.40 ",POLICE OFFICER,POLICE
"$43,431.96 ",POLICE OFFICER,POLICE
"$44,734.82 ",POLICE OFFICER,POLICE
"$43,431.96 ",INVESTIGATOR,POLICE
"$42,167.06 ",INVESTIGATOR,POLICE
"$55,976.44 ",MASTER OFFICER,POLICE
"$53,955.20 ",POLICE SERGEANT,POLICE
"$43,883.06 ",INVESTIGATOR,POLICE
"$45,603.74 ",POLICE CORPORAL,POLICE
"$42,200.08 ",INVESTIGATOR,POLICE
"$52,355.16 ",MASTER OFFICER,POLICE
"$59,890.48 ",MASTER OFFICER,POLICE
"$49,142.86 ",POLICE CORPORAL,POLICE
"$43,431.96 ",INVESTIGATOR,POLICE
"$43,431.96 ",INVESTIGATOR,POLICE
"$57,038.54 ",MASTER OFFICER,POLICE
"$45,199.44 ",INVESTIGATOR,POLICE
"$54,444.26 ",POLICE SERGEANT,POLICE
"$47,952.06 ",INVESTIGATOR,POLICE
"$55,010.02 ",POLICE SERGEANT,POLICE
"$46,547.80 ",POLICE CORPORAL,POLICE
"$70,145.14 ",POLICE LIEUTENANT,POLICE
"$43,883.06 ",INVESTIGATOR,POLICE
"$48,774.18 ",INVESTIGATOR,POLICE
"$45,603.74 ",INVESTIGATOR,POLICE
"$28,201.87 ",SECRETARY,POLICE
"$51,731.68 ",POLICE SERGEANT,POLICE
"$50,378.64 ",MASTER OFFICER,POLICE
"$45,603.74 ",INVESTIGATOR,POLICE
"$57,038.54 ",MASTER OFFICER,POLICE
"$36,428.02 ",EXECUTIVE SECRETARY,POLICE
"$42,167.06 ",INVESTIGATOR,POLICE
"$43,883.06 ",POLICE OFFICER,POLICE
"$44,626.14 ",POLICE OFFICER,POLICE
"$43,883.06 ",POLICE OFFICER,POLICE
"$43,883.06 ",POLICE OFFICER,POLICE
"$64,119.38 ",POLICE SERGEANT,POLICE
"$59,891.00 ",MASTER OFFICER,POLICE
"$40,190.54 ",POLICE OFFICER,POLICE
"$55,311.62 ",POLICE SERGEANT,POLICE
"$45,603.74 ",INVESTIGATOR,POLICE
"$47,459.62 ",INVESTIGATOR,POLICE
"$46,329.40 ",INVESTIGATOR,POLICE
"$48,439.30 ",INVESTIGATOR,POLICE
"$53,025.18 ",POLICE SERGEANT,POLICE
"$41,195.70 ",INVESTIGATOR,POLICE
"$43,431.96 ",INVESTIGATOR,POLICE
"$49,142.86 ",MASTER OFFICER,POLICE
"$51,890.02 ",MASTER OFFICER,POLICE
"$47,459.62 ",INVESTIGATOR,POLICE
"$53,955.20 ",POLICE SERGEANT,POLICE
"$56,167.28 ",MASTER OFFICER,POLICE
"$42,167.06 ",INVESTIGATOR,POLICE
"$42,167.06 ",INVESTIGATOR,POLICE
"$56,077.58 ",POLICE SERGEANT,POLICE
"$42,200.08 ",INVESTIGATOR,POLICE
"$40,190.54 ",INVESTIGATOR,POLICE
"$44,275.40 ",INVESTIGATOR,POLICE
"$46,329.40 ",INVESTIGATOR,POLICE
"$50,341.46 ",POLICE SERGEANT,POLICE
"$33,039.00 ",POLICE OFFICER,POLICE
"$44,517.98 ",INVESTIGATOR,POLICE
"$42,167.06 ",INVESTIGATOR,POLICE
"$45,603.74 ",INVESTIGATOR,POLICE
"$59,890.48 ",MASTER OFFICER,POLICE
"$54,127.32 ",INVESTIGATOR,POLICE
"$44,275.66 ",INVESTIGATOR,POLICE
"$42,200.08 ",INVESTIGATOR,POLICE
"$45,603.74 ",INVESTIGATOR,POLICE
"$44,517.98 ",POLICE OFFICER,POLICE
"$55,065.92 ",POLICE CORPORAL,POLICE
"$44,603.78 ",POLICE OFFICER,POLICE
"$40,190.54 ",POLICE OFFICER,POLICE
"$50,089.78 ",POLICE OFFICER,POLICE
"$28,184.00 ",STAFF ASSISTANT,POLICE
"$43,883.06 ",POLICE OFFICER,POLICE
"$43,431.96 ",INVESTIGATOR,POLICE
"$58,464.38 ",MASTER OFFICER,POLICE
"$42,167.06 ",POLICE OFFICER,POLICE
"$55,948.10 ",POLICE SERGEANT,POLICE
"$85,485.31 ",SOFTWARE DEVELOP. ADMINISTRATO,POLICE
"$58,746.87 ",EMERGENCY INFORMATION SERV COO,POLICE
"$61,077.68 ",EMERGENCY INFORMATION SERV COO,POLICE
"$48,592.97 ",EMERGENCY INFORMATION SERV COO,POLICE
"$62,086.00 ",EMERGENCY INFO SERVICES SUPERV,POLICE
"$81,207.94 ",POLICE MAJOR,POLICE
"$28,909.61 ",STAFF ASSISTANT,POLICE
"$80,576.10 ",POLICE FISCAL MANAGER,POLICE
"$67,688.66 ",POLICE FISCAL MANAGER,POLICE
"$79,987.09 ",POLICE MAJOR,POLICE
"$73,661.12 ",POLICE CAPTAIN,POLICE
"$62,330.58 ",POLICE LIEUTENANT,POLICE
"$64,192.44 ",POLICE LIEUTENANT,POLICE
"$46,443.00 ",POLICE RECORDS SUPERVISOR,POLICE
"$81,207.94 ",POLICE MAJOR,POLICE
"$62,323.04 ",POLICE LIEUTENANT,POLICE
"$64,200.50 ",POLICE CAPTAIN,POLICE
"$71,804.46 ",POLICE CAPTAIN,POLICE
"$51,851.80 ",POLICE SERGEANT,POLICE
"$66,658.80 ",POLICE LIEUTENANT,POLICE
"$73,658.00 ",POLICE CAPTAIN,POLICE
"$63,103.04 ",POLICE CAPTAIN,POLICE
"$33,038.98 ",POLICE OFFICER,POLICE
"$64,192.70 ",POLICE LIEUTENANT,POLICE
"$40,190.54 ",POLICE OFFICER,POLICE
"$61,900.80 ",POLICE LIEUTENANT,POLICE
"$42,200.08 ",POLICE OFFICER,POLICE
"$33,851.64 ",EXECUTIVE SECRETARY,POLICE
"$46,464.86 ",ACCOUNTANT II,POLICE
"$34,162.67 ",MANAGEMENT ASSISTANT,POLICE
"$34,691.02 ",POLICE OFFICER,POLICE
"$47,883.94 ",MASTER OFFICER,POLICE
"$32,545.66 ",EXECUTIVE SECRETARY,POLICE
"$59,493.98 ",POLICE LIEUTENANT,POLICE
"$43,431.96 ",POLICE OFFICER,POLICE
"$36,379.16 ",MANAGEMENT ASSISTANT,POLICE
"$44,275.40 ",POLICE CORPORAL,POLICE
"$66,671.80 ",POLICE LIEUTENANT,POLICE
"$52,897.52 ",POLICE CORPORAL,POLICE
"$36,566.17 ",SECRETARY,POLICE
"$45,603.74 ",POLICE OFFICER,POLICE
"$42,167.06 ",POLICE OFFICER,POLICE
"$64,094.94 ",POLICE LIEUTENANT,POLICE
"$37,882.52 ",POLICE OFFICER,POLICE
"$59,874.36 ",POLICE SERGEANT,POLICE
"$73,995.48 ",POLICE CAPTAIN,POLICE
"$52,136.50 ",POLICE SERGEANT,POLICE
"$33,039.00 ",POLICE OFFICER,POLICE
"$33,038.98 ",POLICE OFFICER,POLICE
"$54,318.42 ",POLICE SERGEANT,POLICE
"$54,615.86 ",POLICE SERGEANT,POLICE
"$42,720.26 ",MANAGEMENT ASSISTANT,POLICE
"$33,039.00 ",POLICE OFFICER,POLICE
"$57,023.46 ",POLICE SERGEANT,POLICE
"$52,390.78 ",POLICE SERGEANT,POLICE
"$50,864.84 ",POLICE SERGEANT,POLICE
"$33,039.00 ",POLICE OFFICER,POLICE
"$64,859.08 ",POLICE SERGEANT,POLICE
"$33,830.72 ",EXECUTIVE SECRETARY,POLICE
"$52,390.78 ",POLICE SERGEANT,POLICE
"$55,948.10 ",POLICE SERGEANT,POLICE
"$70,458.44 ",POLICE CAPTAIN,POLICE
"$34,360.56 ",POLICE OFFICER,POLICE
"$40,214.98 ",POLICE OFFICER,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$30,961.58 ",MANAGEMENT ASSISTANT,POLICE
"$38,246.78 ",POLICE OFFICER,POLICE
"$67,107.30 ",POLICE SERGEANT,POLICE
"$35,558.38 ",POLICE OFFICER,POLICE
"$30,812.00 ",EXECUTIVE SECRETARY,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$34,691.02 ",POLICE OFFICER,POLICE
"$42,200.08 ",POLICE OFFICER,POLICE
"$55,034.72 ",POLICE SERGEANT,POLICE
"$42,200.08 ",POLICE OFFICER,POLICE
"$42,200.08 ",POLICE OFFICER,POLICE
"$64,754.04 ",POLICE LIEUTENANT,POLICE
"$44,517.98 ",POLICE OFFICER,POLICE
"$37,161.80 ",POLICE OFFICER,POLICE
"$36,078.64 ",POLICE OFFICER,POLICE
"$32,240.75 ",EXECUTIVE SECRETARY,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$46,160.69 ",PROGRAM ACCOUNTANT,POLICE
"$41,195.44 ",POLICE OFFICER,POLICE
"$33,038.98 ",POLICE OFFICER,POLICE
"$36,071.88 ",POLICE OFFICER,POLICE
"$34,691.02 ",POLICE OFFICER,POLICE
"$33,038.98 ",POLICE OFFICER,POLICE
"$34,691.02 ",POLICE OFFICER,POLICE
"$44,348.72 ",POLICE OFFICER,POLICE
"$37,161.80 ",POLICE OFFICER,POLICE
"$55,034.72 ",POLICE SERGEANT,POLICE
"$46,757.00 ",ACCOUNTANT II,POLICE
"$35,558.38 ",POLICE OFFICER,POLICE
"$48,883.12 ",POLICE OFFICER,POLICE
"$41,195.44 ",POLICE OFFICER,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$47,520.20 ",POLICE OFFICER,POLICE
"$43,431.96 ",POLICE OFFICER,POLICE
"$38,246.78 ",POLICE OFFICER,POLICE
"$35,558.38 ",POLICE OFFICER,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$34,691.02 ",POLICE OFFICER,POLICE
"$37,161.80 ",POLICE OFFICER,POLICE
"$33,038.98 ",POLICE OFFICER,POLICE
"$35,319.92 ",MANAGEMENT ASSISTANT,POLICE
"$34,360.56 ",POLICE OFFICER,POLICE
"$40,190.54 ",POLICE OFFICER,POLICE
"$34,691.02 ",POLICE OFFICER,POLICE
"$37,882.52 ",POLICE OFFICER,POLICE
"$43,221.10 ",POLICE OFFICER,POLICE
"$36,425.48 ",POLICE OFFICER,POLICE
"$43,883.06 ",POLICE OFFICER,POLICE
"$58,224.66 ",POLICE SERGEANT,POLICE
"$44,275.40 ",POLICE OFFICER,POLICE
"$62,323.04 ",POLICE LIEUTENANT,POLICE
